일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균가격(원)
2020-05-14,6.9,25.0,23.06666667,3.6,320.0,6.7,53.8,992.2,46210.14511491824
2020-05-15,12.6,16.3,34.5,3.0,320.0,11.9,89.1,987.1,42535.60038110211
2020-05-16,13.0,23.6,33.2,4.0,290.0,14.5,83.1,982.1,45775.0
2020-05-18,15.1,22.4,30.6,4.6,160.0,14.6,82.8,976.8,41899.17981025473
2020-05-19,9.3,16.4,12.8,6.6,290.0,8.4,75.8,974.9,60216.18808433791
2020-05-20,7.9,16.6,8.533333333,4.7,320.0,6.5,71.5,986.3,49809.87764514521
2020-05-21,5.9,21.2,4.266666667,3.6,160.0,8.6,72.5,990.9,55860.94333886934
2020-05-22,11.5,21.8,0.0,2.4,160.0,11.1,75.8,990.1,51127.70877159439
2020-05-23,10.6,24.9,0.95,3.5,320.0,11.1,71.9,987.7,50896.1017608764
2020-05-25,11.4,22.9,0.95,5.6,290.0,12.1,70.8,986.6,52259.1970907423
2020-05-26,12.5,25.5,0.0,5.8,320.0,12.0,67.9,983.7,57294.09944093033
2020-05-27,13.7,24.7,0.0,6.2,290.0,8.9,55.3,983.7,54008.31520085706
2020-05-28,10.5,24.4,0.0,3.9,140.0,9.2,62.0,985.0,43427.40935966693
2020-05-29,10.0,26.6,0.0,6.4,320.0,10.7,67.5,990.8,53478.04623755041
2020-05-30,10.4,27.6,0.0,2.9,320.0,10.0,60.6,992.9,37469.64285714286
2020-06-01,17.5,25.1,0.0,8.2,320.0,9.6,52.4,984.5,55953.8879450356
2020-06-02,11.7,24.7,1.266666667,5.2,160.0,9.1,54.6,983.5,61233.35303550198
2020-06-03,16.1,27.8,2.533333333,5.2,290.0,15.1,68.8,979.5,59247.61674564143
2020-06-04,15.2,31.0,3.8,5.4,320.0,15.9,63.4,979.6,53728.45162694092
2020-06-05,19.0,31.0,5.066666667,5.1,290.0,14.6,57.0,982.8,58466.06431024674
2020-06-06,15.2,27.9,6.333333333,4.2,320.0,12.8,62.8,986.0,34417.67331932773
2020-06-08,16.5,32.0,8.866666667,3.4,140.0,17.6,65.6,990.0,59137.60329091552
2020-06-09,18.2,33.5,10.13333333,4.4,140.0,18.2,63.8,989.7,55780.85594714579
2020-06-10,18.6,32.7,11.4,3.9,160.0,18.1,69.1,985.1,45883.12466911587
2020-06-11,19.4,30.4,15.2,3.5,270.0,20.3,77.9,979.4,65921.5760529206
2020-06-12,18.2,27.7,3.2,3.1,290.0,20.2,86.0,981.5,55215.96774291451
2020-06-13,18.2,30.0,0.1,3.6,160.0,18.4,74.5,981.2,38972.88961038961
2020-06-15,16.1,27.4,4.416666667,5.9,290.0,14.5,61.8,981.7,64309.38337142088
2020-06-16,16.7,28.7,3.733333333,5.2,320.0,14.2,60.6,982.2,58421.37192168459
2020-06-17,14.4,28.0,3.05,4.2,160.0,15.6,71.0,981.7,68678.07159709925
